2024-05-22 14:20:17,561 INFO    MainThread:799880 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-22 14:20:17,562 INFO    MainThread:799880 [wandb_setup.py:_flush():76] Configure stats pid to 799880
2024-05-22 14:20:17,562 INFO    MainThread:799880 [wandb_setup.py:_flush():76] Loading settings from /home/ncclab/.config/wandb/settings
2024-05-22 14:20:17,562 INFO    MainThread:799880 [wandb_setup.py:_flush():76] Loading settings from /home/ncclab/shenxinke/att_model/CLISA_Hydra/clisa_run/SEED/2024-05-22/14-20-17_run3/wandb/settings
2024-05-22 14:20:17,562 INFO    MainThread:799880 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-22 14:20:17,562 INFO    MainThread:799880 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-22 14:20:17,562 INFO    MainThread:799880 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_mlp.py', 'program_abspath': '/home/ncclab/shenxinke/att_model/CLISA_Hydra/train_mlp.py', 'program': '/home/ncclab/shenxinke/att_model/CLISA_Hydra/train_mlp.py'}
2024-05-22 14:20:17,562 INFO    MainThread:799880 [wandb_init.py:_log_setup():520] Logging user logs to /home/ncclab/shenxinke/att_model/CLISA_Hydra/clisa_run/SEED/2024-05-22/14-20-17_run3/wandb/offline-run-20240522_142017-ahv1d6b4/logs/debug.log
2024-05-22 14:20:17,562 INFO    MainThread:799880 [wandb_init.py:_log_setup():521] Logging internal logs to /home/ncclab/shenxinke/att_model/CLISA_Hydra/clisa_run/SEED/2024-05-22/14-20-17_run3/wandb/offline-run-20240522_142017-ahv1d6b4/logs/debug-internal.log
2024-05-22 14:20:17,562 INFO    MainThread:799880 [wandb_init.py:init():560] calling init triggers
2024-05-22 14:20:17,563 INFO    MainThread:799880 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-05-22 14:20:17,563 INFO    MainThread:799880 [wandb_init.py:init():610] starting backend
2024-05-22 14:20:17,563 INFO    MainThread:799880 [wandb_init.py:init():614] setting up manager
2024-05-22 14:20:17,565 INFO    MainThread:799880 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-22 14:20:17,567 INFO    MainThread:799880 [wandb_init.py:init():622] backend started and connected
2024-05-22 14:20:17,570 INFO    MainThread:799880 [wandb_init.py:init():711] updated telemetry
2024-05-22 14:20:17,577 INFO    MainThread:799880 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-22 14:20:17,585 INFO    MainThread:799880 [wandb_init.py:init():795] starting run threads in backend
2024-05-22 14:20:24,141 INFO    MainThread:799880 [wandb_run.py:_console_start():2374] atexit reg
2024-05-22 14:20:24,141 INFO    MainThread:799880 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-22 14:20:24,141 INFO    MainThread:799880 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-22 14:20:24,141 INFO    MainThread:799880 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-22 14:20:24,142 INFO    MainThread:799880 [wandb_init.py:init():838] run started, returning control to user process
2024-05-22 14:20:26,846 INFO    MainThread:799880 [wandb_run.py:_config_callback():1376] config_cb None None {'model': None, 'cfg/fea_dim': 256, 'cfg/hidden_dim': 128, 'cfg/out_dim': 3, 'cfg/lr': 5e-05, 'cfg/wd': 0.0022, 'cfg/max_epochs': 100, 'cfg/min_epochs': 30, 'cfg/patience': 30, 'cfg/gpus': [0], 'cfg/num_workers': 8, 'cfg/batch_size': 256}
2024-05-22 14:22:57,759 INFO    MainThread:799880 [wandb_run.py:_finish():2103] finishing run test_run/ahv1d6b4
2024-05-22 14:22:57,760 INFO    MainThread:799880 [wandb_run.py:_atexit_cleanup():2343] got exitcode: 0
2024-05-22 14:22:57,760 INFO    MainThread:799880 [wandb_run.py:_restore():2326] restore
2024-05-22 14:22:57,760 INFO    MainThread:799880 [wandb_run.py:_restore():2332] restore done
2024-05-22 14:22:58,861 INFO    MainThread:799880 [wandb_run.py:_footer_history_summary_info():3994] rendering history
2024-05-22 14:22:58,862 INFO    MainThread:799880 [wandb_run.py:_footer_history_summary_info():4026] rendering summary
