2024-05-29 15:53:21,427 INFO    MainThread:3289757 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-29 15:53:21,428 INFO    MainThread:3289757 [wandb_setup.py:_flush():76] Configure stats pid to 3289757
2024-05-29 15:53:21,428 INFO    MainThread:3289757 [wandb_setup.py:_flush():76] Loading settings from /home/ncclab/.config/wandb/settings
2024-05-29 15:53:21,428 INFO    MainThread:3289757 [wandb_setup.py:_flush():76] Loading settings from /home/ncclab/shenxinke/att_model/CLISA_Hydra/clisa_run/SEED/2024-05-29/15-53-20_run4/wandb/settings
2024-05-29 15:53:21,428 INFO    MainThread:3289757 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-29 15:53:21,428 INFO    MainThread:3289757 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-29 15:53:21,428 INFO    MainThread:3289757 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_mlp.py', 'program_abspath': '/home/ncclab/shenxinke/att_model/CLISA_Hydra/train_mlp.py', 'program': '/home/ncclab/shenxinke/att_model/CLISA_Hydra/train_mlp.py'}
2024-05-29 15:53:21,428 INFO    MainThread:3289757 [wandb_init.py:_log_setup():520] Logging user logs to /home/ncclab/shenxinke/att_model/CLISA_Hydra/clisa_run/SEED/2024-05-29/15-53-20_run4/wandb/offline-run-20240529_155321-629n3dhr/logs/debug.log
2024-05-29 15:53:21,428 INFO    MainThread:3289757 [wandb_init.py:_log_setup():521] Logging internal logs to /home/ncclab/shenxinke/att_model/CLISA_Hydra/clisa_run/SEED/2024-05-29/15-53-20_run4/wandb/offline-run-20240529_155321-629n3dhr/logs/debug-internal.log
2024-05-29 15:53:21,428 INFO    MainThread:3289757 [wandb_init.py:init():560] calling init triggers
2024-05-29 15:53:21,428 INFO    MainThread:3289757 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-05-29 15:53:21,428 INFO    MainThread:3289757 [wandb_init.py:init():610] starting backend
2024-05-29 15:53:21,429 INFO    MainThread:3289757 [wandb_init.py:init():614] setting up manager
2024-05-29 15:53:21,431 INFO    MainThread:3289757 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-29 15:53:21,433 INFO    MainThread:3289757 [wandb_init.py:init():622] backend started and connected
2024-05-29 15:53:21,436 INFO    MainThread:3289757 [wandb_init.py:init():711] updated telemetry
2024-05-29 15:53:21,442 INFO    MainThread:3289757 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-29 15:53:21,448 INFO    MainThread:3289757 [wandb_init.py:init():795] starting run threads in backend
2024-05-29 15:53:27,957 INFO    MainThread:3289757 [wandb_run.py:_console_start():2374] atexit reg
2024-05-29 15:53:27,958 INFO    MainThread:3289757 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-29 15:53:27,958 INFO    MainThread:3289757 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-29 15:53:27,958 INFO    MainThread:3289757 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-29 15:53:27,959 INFO    MainThread:3289757 [wandb_init.py:init():838] run started, returning control to user process
2024-05-29 15:53:29,081 WARNING MsgRouterThr:3289757 [router.py:message_loop():77] message_loop has been closed
